"Transaction Date",c11,,,bc_victoria,,,bc_vancouver,,,ab_calgary,,,ab_edmonton,,,mb_winnipeg,,,on_hamilton,,,on_toronto,,,on_ottawa,,,qc_montreal,,,qc_quebec_city,,,ns_halifax,,
,Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count"
Nov-2009,133.23,133.30,12639,140.92,141.94,440,147.10,147.17,3732,155.06,155.04,411,162.44,161.94,781,156.76,157.13,607,117.64,117.11,437,119.21,118.80,2790,123.33,122.68,715,127.02,128.34,2160,142.04,143.59,448,125.35,126.58,118
Dec-2009,134.63,135.24,10470,143.08,144.42,315,148.93,149.81,2652,157.73,157.45,380,163.20,163.31,585,158.21,159.69,525,118.83,119.19,377,120.64,120.53,2906,123.82,124.08,572,127.74,129.97,1722,143.56,146.30,338,123.56,125.46,98
Jan-2010,135.30,136.70,8966,143.49,145.61,266,150.50,152.28,2923,157.80,159.45,304,162.39,164.42,430,158.75,161.74,313,119.14,120.59,354,121.43,121.89,2387,124.37,125.22,397,128.44,130.82,1317,142.15,144.68,193,122.87,124.98,82
Feb-2010,135.65,137.88,7654,144.41,146.67,244,151.16,153.76,1986,157.11,158.92,302,163.60,166.37,417,157.99,161.70,264,118.74,121.44,294,121.91,123.65,1963,123.04,125.17,389,129.03,131.73,1480,144.40,146.67,194,122.80,125.14,121
Mar-2010,135.97,138.53,11033,143.05,145.74,398,152.14,154.73,2944,156.16,158.66,390,163.99,166.81,640,158.22,162.17,392,119.40,122.30,397,121.82,124.36,2626,123.48,125.98,531,130.02,132.41,2228,146.02,148.38,303,125.40,126.64,184
Apr-2010,137.10,139.28,13371,144.26,146.85,476,153.59,155.32,3286,156.70,158.79,363,166.40,168.02,695,160.57,162.93,464,121.37,123.40,488,122.43,125.12,3021,124.55,126.74,777,131.33,133.19,3060,147.29,150.17,524,127.39,127.69,217
May-2010,138.69,139.87,15543,144.01,146.05,459,155.28,155.91,3524,158.35,159.60,550,167.30,167.48,807,162.51,163.51,574,123.90,124.87,441,123.85,125.52,2930,127.41,128.61,784,133.19,134.09,4477,148.51,151.03,741,127.95,127.94,256
Jun-2010,140.69,140.47,25298,146.93,148.06,629,156.52,156.12,4715,158.83,158.97,522,168.12,167.11,795,164.44,164.46,845,125.79,125.15,921,126.89,126.70,6556,130.05,129.51,1686,134.72,134.61,6784,150.73,151.43,1601,128.34,127.79,244
Jul-2010,141.49,140.37,14520,145.32,145.27,378,155.88,155.36,3010,159.67,157.91,506,168.29,166.53,1076,164.74,164.67,1067,125.87,124.55,560,128.51,126.88,3577,132.10,130.38,1171,135.73,135.41,2465,153.46,153.15,540,128.96,128.78,170
Aug-2010,141.80,140.19,12590,145.41,144.86,336,155.33,154.92,2539,158.73,156.42,477,167.74,165.26,823,165.14,164.94,1044,126.90,124.54,555,129.07,126.50,3417,133.37,130.93,949,136.81,136.38,1909,155.74,155.43,385,129.70,129.66,156
Sep-2010,140.39,139.49,10104,143.63,143.34,290,154.66,154.53,2386,155.25,154.06,337,164.89,163.24,658,165.28,165.36,716,125.82,124.23,395,126.92,125.15,2346,133.17,131.26,682,137.00,137.58,1844,155.87,156.57,326,128.35,128.98,124
Oct-2010,139.71,139.35,9523,142.23,142.58,247,154.70,154.91,2153,153.72,153.61,341,163.70,162.35,571,166.33,166.66,583,125.11,123.91,420,125.78,124.62,2403,132.93,131.73,641,136.47,137.47,1706,157.22,158.16,332,128.68,129.47,126
Nov-2010,139.17,139.47,10747,141.13,142.21,299,155.71,156.20,2526,152.98,153.05,334,162.05,161.81,622,166.77,167.44,661,124.86,124.41,476,125.10,124.88,2672,132.11,131.68,648,134.71,136.33,2010,156.36,158.09,372,127.73,129.10,127
Dec-2010,139.39,140.23,8384,139.07,140.50,210,156.45,157.64,1945,153.48,153.54,275,162.03,162.03,484,165.83,167.70,548,121.89,122.20,337,125.66,125.75,2065,131.07,131.61,528,135.35,137.90,1604,154.95,157.85,310,130.37,132.15,78
Jan-2011,139.86,141.37,7435,140.19,142.06,222,157.75,159.57,2316,152.01,153.54,248,159.86,161.77,388,165.66,168.73,284,121.99,123.27,296,126.37,127.07,1834,130.46,131.27,408,136.43,139.11,1200,156.82,159.69,167,131.10,133.23,72
Feb-2011,140.23,142.46,7080,140.80,142.74,214,158.48,160.89,2110,151.53,153.44,236,158.31,161.15,381,167.31,170.67,257,121.43,124.00,255,126.37,128.15,1569,130.87,132.99,335,138.21,141.06,1422,159.22,161.58,205,131.05,133.57,96
Mar-2011,140.91,143.37,10651,141.02,143.68,261,159.89,162.24,3227,151.05,153.49,464,158.51,161.05,430,169.38,173.24,322,123.89,126.76,396,126.82,129.29,2254,131.01,133.58,529,138.92,141.23,2277,160.22,162.64,313,130.97,132.32,178
Apr-2011,142.22,144.29,11802,141.98,144.56,357,162.57,164.11,3145,151.69,153.85,340,159.46,160.80,556,171.92,174.07,429,124.09,126.23,444,127.70,130.26,2487,132.26,134.36,627,140.25,141.96,2817,160.58,163.59,441,132.55,132.90,159
May-2011,143.98,145.04,15462,143.08,145.46,344,165.24,165.61,3626,152.39,153.43,510,161.17,161.08,707,172.88,173.92,572,125.42,126.48,513,129.80,131.30,3100,132.99,134.26,766,141.68,142.55,4414,161.34,163.91,721,133.07,133.11,189
Jun-2011,146.30,145.94,21166,143.25,144.65,426,168.16,167.39,3895,155.05,155.02,555,162.31,161.06,937,174.19,174.24,802,126.85,126.49,707,132.44,132.16,4531,135.71,134.96,1245,143.30,143.05,6267,164.39,165.18,1568,134.33,133.77,233
Jul-2011,148.14,146.92,15349,143.72,143.29,393,169.70,169.03,3364,158.87,156.93,501,163.38,161.49,938,175.36,175.52,976,128.77,127.47,629,134.86,133.12,4233,137.29,135.50,1237,144.04,143.63,2418,166.21,165.85,530,133.66,133.45,130
Aug-2011,149.46,147.85,15587,143.72,142.97,426,170.77,170.46,3390,160.04,157.53,533,164.30,161.88,966,177.61,177.55,1055,130.00,127.72,682,137.01,134.40,4592,138.58,136.03,1155,144.46,144.08,2229,166.16,165.98,424,133.40,133.39,135
Sep-2011,149.52,148.69,12474,144.04,143.69,326,170.71,171.04,2642,158.73,157.25,466,163.74,162.42,783,178.69,178.83,880,130.66,128.87,518,137.74,135.83,3451,138.53,136.71,892,143.99,144.76,1994,165.48,166.35,399,131.90,132.58,123
Oct-2011,149.46,149.23,11844,141.92,142.32,252,170.15,170.75,2324,156.39,156.09,441,163.49,162.57,737,179.32,179.80,665,130.75,129.53,542,138.81,137.62,3901,137.94,136.92,649,143.86,145.16,1845,165.98,167.18,368,130.68,131.40,120
Nov-2011,149.11,149.61,12347,140.64,141.78,281,169.81,170.73,2296,153.81,153.84,368,163.65,163.67,610,179.23,180.31,700,130.41,130.01,530,138.55,138.41,4137,137.71,137.48,705,144.43,146.36,2229,165.69,167.66,365,131.32,132.73,126
Dec-2011,148.87,149.98,10358,139.51,141.13,229,169.29,170.90,1803,154.88,155.59,358,163.64,163.78,494,180.28,182.60,531,131.28,131.53,432,138.15,138.44,3709,137.04,137.75,526,143.69,146.44,1827,166.18,169.30,383,132.48,134.11,66
Jan-2012,149.02,150.70,8546,140.00,141.75,211,168.84,170.85,1910,154.38,156.10,273,161.79,163.63,433,180.64,183.95,349,131.67,132.68,357,138.91,139.92,3002,137.49,138.21,413,144.06,146.86,1333,165.61,168.62,185,133.42,135.44,80
Feb-2012,148.76,151.01,8112,138.47,140.15,234,168.30,170.44,1790,153.47,155.76,287,160.12,162.96,412,180.96,184.16,299,130.57,132.98,347,138.98,140.89,2564,136.92,138.98,368,144.32,147.27,1504,168.19,170.60,189,134.00,136.59,118
Mar-2012,149.43,151.81,10850,139.94,142.61,266,169.48,171.41,2359,152.41,154.93,342,160.09,162.35,533,180.66,184.39,366,131.29,134.26,447,139.51,142.04,3214,137.02,139.49,565,146.02,148.20,2231,167.86,170.37,387,136.67,138.27,140
Apr-2012,150.61,152.66,11081,139.40,142.14,112,170.57,171.96,1054,154.54,156.76,394,162.42,163.58,735,183.26,185.26,387,131.46,134.04,489,140.66,143.25,3747,137.87,139.94,588,147.18,148.75,2950,166.77,169.77,439,138.85,139.52,186
May-2012,152.34,153.32,17859,139.45,142.15,341,172.46,172.61,2761,157.64,158.25,594,164.72,164.49,962,185.09,186.18,612,132.74,134.20,617,142.68,144.14,4678,138.74,140.00,794,148.06,148.93,5315,167.43,169.75,902,139.45,139.52,283
Jun-2012,154.21,153.80,22005,140.40,141.96,343,173.33,172.49,2942,160.36,160.01,657,166.78,165.32,887,187.84,187.96,776,133.69,133.55,828,145.03,144.76,6122,141.14,140.30,1117,149.66,149.33,6505,169.71,170.36,1656,140.73,140.14,172
Jul-2012,155.28,154.03,18637,143.15,142.36,500,172.44,171.81,3738,160.68,158.87,643,167.40,165.34,1175,188.40,188.83,1052,136.41,135.06,808,147.32,145.47,6026,141.95,140.27,1261,150.19,149.75,2708,173.16,172.78,546,140.92,140.69,180
Aug-2012,155.52,154.00,16894,142.11,141.21,387,170.31,170.34,2344,161.40,159.10,640,168.57,166.23,1090,189.14,189.21,1038,139.17,136.82,881,148.39,145.68,6277,143.07,140.44,1217,150.39,150.22,2394,172.10,172.11,487,141.66,141.77,139
Sep-2012,154.97,154.16,11135,140.28,139.78,260,168.28,168.93,2172,162.22,160.63,471,167.33,166.31,700,189.95,190.04,899,139.63,137.58,480,148.55,146.40,3538,141.94,140.25,574,149.49,150.46,1646,171.73,172.80,264,142.42,143.03,131
Oct-2012,154.59,154.38,11221,139.49,139.78,274,168.46,169.06,1880,161.90,161.17,444,167.81,167.11,761,189.94,190.45,750,140.18,138.77,491,147.72,146.52,3677,141.41,140.55,594,149.07,150.57,1891,170.25,171.79,353,142.26,142.77,106
Nov-2012,154.02,154.59,11433,138.20,139.24,240,167.51,168.56,2007,162.61,162.41,388,166.28,166.57,640,188.60,190.03,561,139.75,139.14,582,147.33,147.20,3743,140.75,140.61,700,148.45,150.59,2032,170.14,172.30,439,140.92,142.37,101
Dec-2012,153.45,154.69,8528,139.51,141.28,219,165.89,167.73,1780,161.17,162.41,323,166.16,166.52,458,187.32,189.84,505,141.01,141.20,340,146.84,147.23,2745,140.57,141.17,399,148.06,150.76,1500,173.11,176.17,218,139.88,141.30,41
Jan-2013,153.00,154.70,7245,141.51,143.25,125,164.55,166.53,1244,161.01,163.04,294,164.95,166.58,429,186.76,190.14,427,139.47,140.38,329,146.29,147.40,2599,141.23,141.85,358,147.80,150.48,1216,175.53,178.56,163,142.24,144.18,61
Feb-2013,152.72,154.87,6573,139.48,141.08,143,165.72,167.23,1172,159.02,161.47,257,164.37,166.99,406,188.19,191.47,232,139.00,141.17,304,145.84,147.82,2161,140.15,142.11,295,147.24,150.14,1318,177.04,179.65,196,142.42,145.31,89
Mar-2013,153.31,155.58,8365,135.04,137.75,166,166.98,168.41,1473,161.12,163.60,269,166.00,167.97,526,188.74,192.31,319,137.71,140.96,399,146.09,148.62,2701,140.23,142.61,427,148.27,150.31,1695,177.83,180.66,281,142.88,144.87,109
Apr-2013,153.68,155.78,11647,134.84,137.80,249,165.63,166.96,2312,163.06,165.18,425,168.19,169.10,650,191.27,193.08,428,138.51,141.67,512,146.67,149.35,3416,139.99,142.17,572,149.04,150.60,2505,177.01,180.17,413,142.68,143.83,165
May-2013,155.39,156.44,16279,133.76,136.77,281,166.87,167.11,2230,166.84,167.34,569,171.32,171.08,742,193.63,194.62,626,140.48,142.49,603,148.20,149.72,4428,141.48,142.76,852,150.90,151.80,4851,178.34,180.45,912,142.65,142.88,185
Jun-2013,157.00,156.73,18725,133.96,135.50,331,168.42,167.92,2644,169.21,168.77,655,171.79,170.34,977,195.23,195.66,467,142.99,142.99,723,150.30,150.14,5040,142.71,141.94,929,151.80,151.51,5524,179.19,179.64,1271,143.90,143.26,164
Jul-2013,158.16,157.02,17780,137.41,136.28,484,168.92,168.47,3416,170.12,168.80,549,173.18,171.22,1069,194.47,195.26,1139,145.58,143.93,759,152.30,150.51,5890,143.20,141.65,1163,151.83,151.42,2652,179.70,179.29,529,143.01,142.82,130
Aug-2013,159.12,157.68,17169,138.49,137.40,428,170.18,170.41,3037,171.89,169.83,631,172.88,170.80,1142,194.07,194.21,835,146.78,144.22,850,154.10,151.29,6413,143.47,140.87,1148,151.44,151.54,2201,178.16,178.38,417,140.74,140.88,67
Sep-2013,159.12,158.22,14263,139.51,138.91,364,171.11,171.67,3303,171.23,169.62,643,171.91,171.12,869,193.83,193.89,1144,147.81,145.44,508,154.07,151.66,4337,143.41,141.71,997,150.69,151.82,1740,177.41,178.64,281,139.85,140.17,77
Oct-2013,159.34,159.01,11829,138.73,138.89,241,173.00,173.46,1832,172.69,171.37,568,171.45,170.87,914,193.69,194.21,681,146.66,145.08,535,153.76,152.40,4127,142.65,141.83,636,150.48,152.08,1903,176.71,178.58,283,141.28,141.56,109
Nov-2013,159.21,159.74,12326,136.22,137.08,300,174.04,175.15,2556,172.23,171.80,439,171.19,171.60,701,193.82,195.27,637,147.03,146.22,605,153.50,153.29,4155,142.39,142.15,592,149.65,151.82,1909,176.42,178.69,327,142.07,143.37,105
Dec-2013,159.29,160.56,10212,133.92,135.58,251,175.03,177.16,2360,171.67,173.10,417,172.16,172.67,568,193.66,196.14,509,146.17,146.46,418,154.05,154.46,3432,141.98,142.31,412,148.71,151.15,1532,175.64,178.53,258,140.43,141.58,55
Jan-2014,160.33,162.03,9171,133.48,135.16,143,176.94,178.95,1604,172.42,174.61,432,172.23,173.62,488,193.96,197.26,403,146.63,147.55,421,154.80,156.02,3016,141.99,142.57,916,151.32,153.83,1489,175.39,178.09,214,138.06,139.69,45
Feb-2014,160.83,162.98,7544,134.70,136.26,197,178.47,179.83,1734,174.34,176.90,262,173.18,175.35,334,194.84,198.29,220,145.97,148.16,285,154.67,156.78,2316,140.84,142.83,559,152.41,155.20,1382,173.35,176.11,218,135.69,138.51,37
Mar-2014,161.23,163.55,9915,135.27,138.23,217,179.62,180.87,2359,176.72,179.05,446,173.82,175.54,559,195.23,198.73,382,144.92,148.47,373,154.63,157.40,2765,138.97,141.36,690,152.79,154.85,1786,173.40,176.42,281,136.83,139.16,57
Apr-2014,162.07,164.39,11661,133.88,137.23,236,180.52,182.18,2141,179.39,181.36,326,174.88,175.59,595,196.00,197.73,344,145.92,149.62,459,155.15,158.13,3494,140.25,142.63,859,153.40,155.10,2659,175.03,178.24,436,137.75,139.41,112
May-2014,163.33,164.57,17234,133.79,137.07,320,180.47,180.98,2600,181.29,181.86,579,175.85,175.70,1073,195.51,196.67,253,148.80,151.18,669,157.16,158.91,4545,141.19,142.50,1278,153.93,154.92,4809,178.92,180.79,981,142.07,142.49,127
Jun-2014,164.58,164.45,22610,136.17,137.70,464,178.75,178.59,3899,182.89,182.66,442,177.82,176.61,1069,194.42,195.37,486,153.39,153.29,837,159.43,159.28,5954,143.71,143.10,1696,155.28,155.26,6189,180.23,180.51,1378,140.36,139.61,196
Jul-2014,166.23,165.07,20346,140.90,139.56,497,179.16,178.60,3462,183.99,183.29,875,179.59,178.02,1445,194.21,195.24,1275,155.87,153.84,873,162.35,160.36,6498,144.59,143.06,1833,155.75,155.45,2817,180.63,180.20,577,141.36,141.22,194
Aug-2014,167.52,166.04,20153,141.38,140.11,574,180.63,180.94,4454,185.41,183.90,583,180.59,178.73,1194,197.78,197.89,1115,156.61,153.62,937,164.37,161.25,6771,145.91,143.27,1729,155.11,155.38,2169,181.61,182.05,408,142.04,142.19,219
Sep-2014,168.11,166.96,14094,138.84,138.03,372,182.20,182.28,2844,187.42,185.88,544,180.60,179.97,1166,198.81,198.81,752,156.05,153.50,668,165.48,162.62,4935,144.78,142.96,990,154.14,155.33,1455,181.36,182.78,243,143.01,143.19,125
Oct-2014,168.33,167.79,14362,138.62,138.59,344,184.31,184.48,2835,188.35,186.62,540,179.83,179.18,896,198.04,198.31,1026,157.38,155.54,653,165.08,163.49,5007,143.71,142.71,1049,154.15,155.76,1595,179.42,181.40,294,141.82,141.94,123
Nov-2014,168.06,168.50,13407,138.19,138.86,454,184.36,185.51,3883,188.02,187.20,360,181.77,182.11,770,196.75,197.89,726,157.39,156.43,590,164.63,164.39,4122,143.32,142.93,836,153.92,155.98,1352,176.31,178.37,210,139.57,140.61,104
Dec-2014,167.96,169.29,10655,138.17,139.79,247,183.71,186.24,1966,185.99,187.18,360,182.17,182.61,657,196.66,198.97,482,157.61,158.21,493,165.20,165.77,4066,143.06,143.18,743,154.08,156.32,1342,176.39,178.89,221,136.94,137.67,78
Jan-2015,168.62,170.40,8397,139.41,141.27,201,185.94,188.07,1784,184.68,186.66,313,182.74,183.69,483,194.74,197.89,396,157.15,158.46,437,166.18,167.68,3201,142.09,142.77,526,154.15,156.51,883,177.68,180.12,109,137.60,138.99,64
Feb-2015,168.82,171.09,7683,140.04,141.86,193,188.66,190.08,2105,184.10,186.49,228,181.24,183.03,453,192.88,196.56,234,157.60,160.20,357,165.99,168.50,2500,139.97,142.03,484,154.07,156.65,938,177.89,181.06,141,136.72,139.56,50
Mar-2015,169.18,171.72,9891,139.70,143.04,250,189.14,190.50,2638,184.45,186.55,242,181.93,183.68,572,193.33,196.87,288,157.07,160.93,406,166.42,169.65,3186,139.30,141.75,607,154.63,156.78,1392,178.37,181.88,219,138.36,141.17,91
Apr-2015,169.35,171.95,11514,139.47,143.30,290,189.20,191.33,2507,184.85,186.73,271,183.11,183.94,529,197.00,198.77,345,156.99,161.03,492,166.44,169.77,3812,138.88,141.46,812,154.54,156.45,2043,178.60,181.91,315,139.39,141.54,98
May-2015,170.74,172.16,16243,140.19,143.71,433,191.58,192.51,3560,178.84,179.70,326,184.28,184.38,642,197.39,198.79,598,157.97,160.42,623,169.10,170.91,4809,140.37,141.75,1139,155.97,157.10,3299,180.90,182.74,696,142.62,143.37,118
Jun-2015,172.98,172.90,23164,143.87,145.30,554,193.90,193.99,4969,183.23,183.40,454,184.27,183.35,886,196.80,198.19,249,161.85,161.51,969,171.86,171.39,6989,142.31,141.99,1771,156.75,157.15,4914,181.18,181.43,1261,142.05,141.24,148
Jul-2015,175.10,173.75,21028,146.36,144.92,623,196.94,195.99,4720,179.75,179.55,542,182.93,181.85,1150,195.89,196.99,605,166.27,163.78,1060,175.91,173.37,7511,145.15,143.56,1968,157.60,157.52,2302,181.42,181.06,408,140.56,140.40,139
Aug-2015,176.88,175.16,19764,145.89,144.45,728,198.08,198.12,5392,186.70,185.67,546,182.02,180.29,1007,197.08,197.02,792,170.33,166.68,1000,178.75,175.05,6855,145.08,142.44,1463,156.99,157.34,1657,180.26,180.77,261,140.05,140.07,63
Sep-2015,177.91,176.43,15086,147.08,146.13,436,201.20,200.41,3395,187.98,186.67,488,182.04,181.27,992,194.32,194.35,623,172.53,169.54,709,179.79,176.58,5522,144.81,142.76,1109,156.52,157.57,1527,177.63,179.06,245,142.71,142.74,40
Oct-2015,178.21,177.55,14647,147.55,147.40,391,202.42,202.39,3471,186.51,184.85,366,182.33,181.55,808,198.09,198.19,729,172.08,170.19,699,180.35,178.63,5130,144.07,142.75,1132,156.13,157.68,1617,178.65,180.63,262,140.30,140.44,42
Nov-2015,178.68,179.13,15066,150.15,150.71,519,205.15,206.64,4685,184.20,183.12,313,180.77,180.89,672,197.48,198.17,537,172.52,171.67,665,180.53,180.45,4834,143.45,142.93,978,156.93,158.70,1595,179.30,181.08,237,138.32,139.15,31
Dec-2015,178.79,180.28,10976,150.17,151.75,271,207.40,210.40,2089,181.10,181.80,305,180.21,180.37,485,194.55,196.71,605,171.51,172.73,553,180.82,181.85,4299,142.59,142.61,750,156.57,158.53,1375,180.95,183.27,220,140.45,141.01,24
Jan-2016,178.78,180.72,10315,151.25,153.36,271,209.17,211.63,3040,179.79,181.16,320,179.24,179.82,537,195.16,197.97,627,173.30,175.13,428,180.51,182.55,3436,141.60,142.43,566,155.68,157.86,944,179.60,181.78,130,140.31,141.50,16
Feb-2016,179.90,182.46,9151,152.62,154.93,305,215.95,218.07,2788,178.09,180.15,183,179.40,180.81,351,195.45,199.23,301,172.64,175.92,405,180.93,183.98,2997,140.71,142.80,561,154.94,157.35,1109,178.61,182.06,136,136.25,138.85,15
Mar-2016,181.39,184.27,11459,151.51,155.38,338,221.89,223.72,2902,177.62,179.60,683,180.96,182.85,685,195.60,199.16,283,173.62,177.80,469,181.47,185.22,3706,141.34,143.93,702,155.97,158.29,1474,177.77,181.50,196,132.04,135.11,21
Apr-2016,183.59,186.49,14664,152.29,156.67,424,226.68,229.52,3736,177.96,179.72,829,180.78,182.05,839,197.11,199.46,384,175.30,179.52,568,183.93,187.44,4388,141.94,144.80,911,157.41,159.53,2155,177.86,181.20,380,134.78,137.18,50
May-2016,186.55,188.08,19886,155.28,158.97,731,233.17,234.53,5192,178.44,179.46,938,181.20,181.74,916,197.47,199.36,381,179.79,182.13,713,186.99,188.58,5693,143.90,145.45,1088,158.32,159.80,3539,180.07,181.95,610,135.96,136.94,85
Jun-2016,190.59,190.37,24916,161.79,163.03,703,239.22,239.38,4829,178.82,179.19,1153,180.69,180.07,1153,200.13,201.95,262,184.12,183.21,938,193.15,191.98,7505,145.25,145.20,1805,158.99,159.85,5162,182.28,182.66,1246,141.03,140.23,160
Jul-2016,194.41,192.67,22154,167.88,166.43,836,244.81,243.21,5380,178.71,178.66,1176,180.67,179.80,1207,203.41,204.34,714,188.54,185.50,966,199.22,195.82,7506,146.55,144.87,1886,159.91,160.18,2012,183.19,182.95,347,140.48,140.27,124
Aug-2016,197.55,195.52,23976,171.49,169.91,890,249.09,248.84,5671,178.33,177.84,1311,181.40,179.67,1520,203.15,202.97,1377,192.40,188.04,1033,204.83,200.43,8272,147.49,144.76,1784,160.47,160.78,1714,180.81,181.38,295,141.53,141.33,109
Sep-2016,199.26,197.38,19591,173.44,172.29,676,249.53,247.89,3577,178.82,177.77,1205,180.76,179.57,1244,203.30,203.12,924,195.10,191.76,802,209.28,205.65,7922,147.25,144.94,1358,160.15,160.91,1554,179.78,181.31,273,141.47,141.48,56
Oct-2016,199.89,199.16,15461,174.00,173.78,532,248.01,247.75,3198,179.78,178.51,987,180.68,179.71,1011,204.03,203.96,623,197.91,196.04,620,211.71,210.03,5797,147.35,145.69,983,159.30,160.65,1470,179.34,181.28,208,141.12,141.32,32
Nov-2016,200.10,200.74,15899,174.64,175.12,471,244.71,246.73,2621,180.99,179.76,1150,180.34,180.17,1015,203.54,203.97,562,200.66,200.09,715,213.95,214.31,6289,146.14,145.62,1074,158.84,160.38,1708,179.54,180.92,227,141.93,142.78,67
Dec-2016,200.69,202.52,12602,176.78,178.46,372,242.64,246.28,2162,182.14,182.37,554,180.47,180.47,554,201.11,203.14,550,201.47,203.34,577,216.53,218.40,5307,145.58,145.46,825,158.63,160.36,1419,179.74,181.64,244,142.51,142.96,38
Jan-2017,201.59,203.86,11425,177.11,179.67,321,243.39,246.33,1807,182.25,183.11,1005,180.22,180.55,876,199.78,202.28,448,203.73,206.30,491,218.30,221.16,4779,144.92,145.75,596,159.29,161.26,922,181.12,183.22,118,142.50,143.65,62
Feb-2017,203.55,206.57,11281,176.95,180.06,355,246.86,249.53,2120,179.87,181.68,864,179.28,180.61,644,198.77,202.57,354,206.66,210.94,622,222.46,226.44,4467,145.46,147.53,519,159.49,161.82,1082,180.43,184.11,171,139.82,142.23,83
Mar-2017,205.39,208.77,12797,178.78,183.41,328,248.97,251.20,2139,179.42,181.51,1006,175.98,178.00,752,199.99,203.68,298,211.02,215.97,633,226.47,231.11,4859,145.40,148.33,836,160.30,162.80,1645,177.20,181.02,204,137.43,140.86,97
Apr-2017,207.82,211.08,12772,181.48,186.65,375,248.68,251.74,2238,179.90,181.81,948,176.21,177.95,684,201.90,205.17,273,215.39,220.03,618,232.38,236.34,4497,145.29,148.48,792,161.21,163.63,1958,174.94,178.24,273,139.38,141.98,116
May-2017,212.22,213.75,20728,185.94,189.91,570,252.30,253.71,3766,180.73,181.85,1595,177.29,178.33,1197,202.79,205.17,465,222.03,224.29,950,240.71,241.88,6487,146.48,148.26,1256,162.16,164.17,3638,176.90,178.92,654,141.27,142.60,150
Jun-2017,217.57,217.00,25527,189.98,191.03,591,258.52,258.59,3876,181.25,181.74,1759,180.46,180.00,1274,202.23,204.38,379,231.19,229.41,1103,249.66,247.34,7943,148.23,148.41,2069,163.37,164.60,5293,180.56,181.23,1069,143.63,142.81,171
Jul-2017,221.68,219.45,23791,195.30,193.95,822,265.77,264.15,5511,182.01,181.95,1806,181.51,180.55,1351,203.70,204.42,810,236.07,232.13,1088,254.93,250.12,7384,151.14,149.34,1992,164.80,165.42,2404,181.89,181.83,392,142.12,141.73,231
Aug-2017,223.07,220.64,22095,198.88,197.28,654,272.18,271.86,4004,182.19,181.80,1750,182.99,181.20,1409,206.42,206.04,713,237.51,232.12,1135,253.84,248.46,7716,152.98,150.01,2060,165.54,165.83,2117,181.15,181.80,278,142.52,141.97,259
Sep-2017,221.49,219.46,17345,198.97,197.92,578,275.85,274.24,3819,183.44,182.44,1541,183.32,181.60,1178,205.74,205.15,855,233.10,229.27,730,247.04,243.34,5230,153.37,150.63,1341,166.21,166.64,1671,181.29,182.70,236,141.97,141.88,166
Oct-2017,219.22,218.67,15311,199.12,198.92,416,277.75,277.73,3150,182.99,182.01,1308,182.06,181.02,996,204.21,204.09,702,228.98,227.48,684,240.15,238.91,4735,152.94,150.98,1199,166.30,167.38,1738,181.99,183.95,232,143.75,144.06,151
Nov-2017,218.08,218.98,15772,199.10,199.63,431,277.85,280.23,3259,184.28,183.06,1415,180.70,180.32,1161,205.23,205.64,463,225.28,225.23,712,236.73,237.71,4998,151.83,151.27,1125,167.12,168.50,1804,183.59,184.59,228,144.90,145.84,176
Dec-2017,218.59,220.63,13642,197.06,198.62,364,281.40,285.24,2876,183.10,183.06,970,180.87,180.83,720,209.19,211.07,399,224.19,226.50,600,236.07,238.60,4933,152.58,152.28,932,167.77,169.36,1520,182.56,184.24,218,147.62,148.30,110
Jan-2018,219.19,221.65,12502,198.96,201.83,433,284.64,287.94,3059,182.48,183.13,1146,180.27,180.53,881,206.88,209.12,272,223.63,226.46,603,236.57,239.83,4223,151.94,152.79,604,167.94,169.85,1071,178.95,181.01,113,146.12,147.55,97
Feb-2018,218.90,222.10,9675,199.04,202.85,268,285.83,289.07,2100,180.97,182.74,859,178.79,180.16,647,204.77,208.39,210,224.08,228.67,452,236.22,240.34,3214,150.84,153.12,557,167.44,169.72,1162,176.32,179.96,131,147.29,149.67,75
Mar-2018,218.96,222.43,11602,201.07,206.32,316,287.39,289.90,2129,180.17,182.35,875,176.41,178.41,785,205.85,209.77,481,223.42,228.49,498,236.22,240.65,3654,149.76,153.27,804,167.15,169.95,1709,176.54,180.25,234,145.79,149.59,117
Apr-2018,219.49,222.48,12656,201.44,206.81,342,288.19,290.98,2187,180.17,182.07,926,176.88,178.80,716,204.29,208.57,304,225.11,229.23,619,236.78,239.95,4001,149.62,153.09,911,167.54,170.25,2182,179.10,182.47,339,146.70,149.32,129
May-2018,221.73,223.04,17518,205.05,208.88,459,291.20,292.33,2848,180.84,181.96,1197,178.19,179.54,1106,206.95,209.99,448,226.03,227.61,684,239.90,240.34,4714,152.23,154.13,1404,168.06,170.64,3803,180.19,182.43,683,146.75,148.15,172
